Q4678792,"Adam Brown","Welsh rugby union player"
Q4678942,"Adam Davies",cricketer
Q4679184,"Adam Harding","Welsh ice hockey forward"
Q4679194,"Adam Harrison",cricketer
Q4679263,"Adam Hughes","Welsh rugby union player"
Q4679561,"Adam O'Brian","Welsh actor"
Q4679608,"Adam Phillips","British psychologist"
Q4679626,"Adam Powell","Owner of neopets"
Q4679892,"Adam Thomas","Welsh rugby union player"
Q4679946,"Adam Warren","rugby player"
Q468004,"Margaret John","British actress"
Q468195,Malo,"Welsh saint who became founder of Saint-Malo in Brittany."
Q4684916,"Adrian Cambriani","Welsh rugby union footballer and coach, and rugby league footballer"
Q4685066,"Adrian Griffiths","Cricket player"
Q4685181,"Adrian Lewis Morgan","Welsh actor"
Q4685352,"Adrian Shaw","Welsh cricketer"
Q469952,"Gwenllian of Wales","Welsh royal Princess; daughter of Llywelyn II"
Q4704294,"Al Lewis","British singer"
Q4706473,"Alan David","British actor"
Q4706594,"Alan Evans","British darts player"
Q4706991,"Alan Jones","Welsh cricketer born in 1957"
Q4706993,"Alan Jones","Welsh cricketer born 1938"
Q4707517,"Alan Petherbridge","British judoka"
Q4707597,"Alan Rees","Welsh rugby union and rugby league footballer (born 1938)"
Q4707682,"Alan Rudkin","British boxer"
Q4708055,"Alan Wilkins","Welsh cricketer and commentator"
Q470862,"Rhodri the Great","King of Gwynedd who unified the whole of Wales (c. 820–878)"
Q4708700,"Alastair Dalton","Welsh cricketer"
Q4708724,"Alastair Hetherington","British journalist"
Q4709005,"Alban Hill","Welsh doctor of physic"
Q4710162,"Albert Evans-Jones","Welsh poet"
Q4710188,"Albert Fear","Welsh rugby union player"
Q4710243,"Albert Freethy","Welsh cricketer (1885-1966)"
Q4710369,"Albert Gubay","British businessman"
Q4710519,"Albert Hybart","Welsh rugby union player"
Q4710747,"Albert Love",boxer
Q4711030,"Albert Powell","English cricketer (1893-1979)"
Q4711320,"Albert Thomas","Welsh cricketer (1893-1965)"
Q47121765,"Ray Evans","Welsh writer (1923-2017)"
Q47121825,"Gwen Redvers Jones","teacher and writer"
Q47122431,"Gweneth Lilly","children's writer  1920–2004"
Q47122648,"Gwyn Erfyl","Welsh broadcaster and minister"
Q47122808,"D. Geraint Lewis","Welsh author and lexicographer"
Q47125622,"Ieuan Gwynedd Jones","Welsh historian"
Q47126099,"Mari Emlyn","Welsh author and actress"
Q47127197,"J. Towyn Jones","Welsh historian, minister and author"
Q47127360,"E. Wyn James","Welsh Academic"
Q47128519,"Daniel Davies","Welsh novelist and journalist"
Q47129647,"Patti Flynn","Welsh singer and performer"
Q47129851,"Teleri Bevan","Welsh broadcaster"
Q47130211,"R. Gwynedd Parry","Welsh academic and barrister"
Q471402,"Richard Marquand","British film director"
Q4714175,"Alec James","Cricket player (1889-1961)"
Q4714179,"Alec Jenkins","Welsh rugby union player"
Q4714268,"Alec Templeton","British composer"
Q4714330,"Aled Davies","Paralympic Welsh athlete"
Q4714333,"Aled James","Welsh rugby union footballer, and rugby league footballer and coach"
Q4714340,"Aled Haydn Jones","British DJ"
Q4714342,"Aled Thomas","Welsh rugby union footballer and coach"
Q4714348,"Aled Wyn Davies","Welsh Classical singer"
Q4717057,"Alex Givvons","Welsh rugby union footballer, and rugby league footballer and referee"
Q4717250,"Alex Jones",cricketer
Q4717255,"Alex Jones","Welsh television presenter"
Q4717296,"Alex Kersey-Brown","Welsh rugby union and rugby league footballer"
Q4717948,"Alex Walker","Welsh rugby union footballer"
Q47179942,Llwchaiarn,"Welsh saint from 6c"
Q4717998,"Alex Winters","Welsh television presenter"
Q4719968,"Alexander Rolls","Welsh politician"
Q4720591,"Alexandra Boyd","Welsh actress, writer, director and producer"
Q4721725,"Alf Morgans","Australian politician (1850-1933)"
Q4721752,"Alf Shea","Welsh cricketer (1898-1969)"
Q4722542,"Alfred Dillon","New Zealand politician"
Q4722679,"Alfred Francis","Welsh rugby league footballer"
Q4722738,"Alfred Gooding","British businessman"
Q4722846,"Alfred Higgs","Welsh rugby league footballer"
Q4722948,"Alfred Janes","painter (1911-1999)"
Q4723069,"Alfred Lewis Jones","Welsh businessman"
Q4723318,"Alfred Pullin",journalist
Q472382,"Sam Edwards","Welsh physicist"
Q4724154,"Algernon Islay de Courcy Lyons","Welsh photographer"
Q4727193,"Alison Statton","Welsh singer"
Q4731836,"Allen Raine","female novelist from Wales"
Q4737488,"Alun Davies","Welsh guitarist, studio musician, recording artist, and composer"
Q4737493,"Alun Davies","Welsh politician and AM (born 1964)"
Q4737495,"Alun Evans","General Secretary of the Football Association of Wales between 1982 and 1995"
Q4737502,"Alun Pugh","rugby player"
Q4737506,"Alun Pugh","British politician"
Q4738519,"Alwyn Harris","English cricketer (1936-2018)"
Q47432550,Wddyn,"5th century Welsh saint"
Q47460742,"Thomas Carey-Evans","Welsh surgeon and British Army officer"
Q4749104,"Amy Beth Hayes","Welsh actress"
Q4749165,"Amy Dillwyn","Novelist, businesswoman"
Q4749176,"Amy Evans","singer and actress (1884-1983)"
Q47542236,"Nicola Tustain","Welsh Paralympic dressage rider"
Q4756448,"Andrew Brown","Welsh rugby union player, born 1980"
Q4756669,"Andrew Coombs","Welsh rugby union player"
Q4756770,"Andrew Davies","British darts player"
Q4757162,"Andrew Gray","British anthropologist"
Q4757241,"Andrew Harris","Welsh cricketer"
Q4757532,"Andrew Jones","former Welsh cricketer, born 1972"
Q4757535,"Andrew Jones","British screenwriter and director"
Q4758034,"Andrew Millward","Welsh rugby union player"
Q4758350,"Andrew R. T. Davies","Leader of the Welsh Conservatives (born 1968)"
Q4758493,"Andrew Salter","Welsh cricketer"
Q4758799,"Andrew Vicari","Welsh painter (1938-2016)"
Q4760358,"Andy Allen","rugby union player"
Q4760660,"Andy Fenby","Welsh rugby union footballer"
Q4760715,"Andy Goddard","British director and screenwriter"
Q4760958,"Andy Lloyd","Welsh rugby union player"
Q4761195,"Andy Puddle","Welsh cricketer"
Q4761436,"Andy Vine",musician
Q4761604,"Aneirin Hughes","singer and actor"
Q4761761,"Aneurin Norman",cricketer
Q4762459,"Angela Hazeldine","British actress"
Q4763157,"Angharad Llwyd","British antiquarian"
Q4763163,"Angharad ferch Meurig","Welsh princess"
Q4766340,"Ann Cotton","Welsh entrepreneur and philanthropist"
Q4766441,"Ann Harriet Hughes","British novelist"
Q4766480,"Ann Jones","Welsh politician and AM (born 1953)"
Q4766483,"Ann Keen","British politician (born 1948)"
Q4766850,"Anna Bethell","British actress and singer"
Q4767676,"Annabel Giles","British broadcaster, writer, author and model"
Q4768405,"Anne Griffith-Jones","Educationist who founded the Tanglin Trust School in Singapore"
Q4768946,"Anneka Rice","English broadcaster"
Q4769415,"Annie Powell","Welsh Communist politician (1906-1986)"
Q4772117,"Anthony Blackwood","English rugby league footballer"
Q4772713,"Anthony Hicks","British musicologist"
Q4772751,"Anthony Howells","coal miner"
Q4772758,"Anthony Hulme","British actor (1910-2007)"
Q4772944,"Anthony Ling","Welsh cricketer (1910-1987)"
Q4773210,"Anthony O'Donnell","Welsh actor"
Q4773224,"Anthony Oliver","British actor (1922-1995)"
Q4773535,"Anthony Stuart Lloyd","Welsh opera singer"
Q4773726,"Anthony Windham Jones","Welsh rugby union player"
Q4775602,"Antoinette Sandbach","Liberal Democrat politician (born 1969)"
Q4777220,"Antony John Williams","Welsh chemist"
Q4784337,"Arash Amel","British-Iranian screenwriter and film producer"
Q478565,"Dai Havard","British politician (born 1950)"
Q4786631,"Archie Brown","Welsh rugby union and rugby league footballer"
Q479115,"Joan Ruddock","Welsh politician (born 1943)"
Q479188,"Chris Ruane","Welsh politician and former MP (born 1958)"
Q4795190,"F. Gwendolen Rees","Welsh zoologist and parasitologist (1906-1994)"
Q4795256,"Arnold Silverstone, Baron Ashdown","British life peer (1911-1977)"
Q4797913,"Arthur Banks","RAF pilot, recipient of the George Cross"
Q4797944,"Arthur Bassett","Welsh rugby union and rugby league footballer"
Q4798124,"Arthur Buckler","Welsh rugby league footballer"
Q4798130,"Arthur Bulkeley","Welsh bishop"
Q4798355,"Arthur Creber","cricketer (1909-1966)"
Q4798409,"Arthur Daniels","Welsh rugby league footballer"
Q4798596,"Arthur Ellis","English rugby union player"
Q4798677,"Arthur Fear","Welsh opera singer"
Q4798724,"Arthur Francis","Welsh cricketer"
Q4799042,"Arthur Henry Williams","Socialist Politician, Member of Parliament, and union organizer"
Q4799063,"Arthur Hickman","Welsh rugby union and rugby league footballer"
Q4799128,"Arthur Horner","British politician"
Q4799486,"Arthur Lemon","Welsh rugby union player"
Q4800100,"Arthur Rees","Welsh rugby union player"
Q4800443,"Arthur Thomas","Welsh cricketer (1895-1953)"
Q4800445,"Arthur Thomas","Welsh-English rugby league footballer"
Q4802552,"Arwel Richards","British polo administrator"
Q4805363,"Ashley Bateman","Welsh rugby league footballer"
Q4805364,"Ashley Beck","Welsh rugby union player"
Q4805629,"Ashley Way","British television director"
Q4815657,"Atholl Oakeley","British professional wrestler"
Q4819086,"Aubrey Casewell","Welsh rugby league footballer and coach"
Q4819096,"Aubrey Davies","Welsh cricketer (1915-1994)"
Q4819135,"Aubrey Jones","British politician (1911-2003)"
Q4819183,"Aubrey Richards","actor (1920-2000)"
Q4821369,"Augustus Anson","British army officer and politician"
Q4848345,"Bailey Davies","Welsh rugby union player"
Q4850963,"Henry Brinley Richards","Welsh composer"
Q4858774,"Barbara Brooke, Baroness Brooke of Ystradfellte","British politician (1908-2000)"
Q486165,"Anarawd ap Rhodri","King of Gwynedd between 878 and 916."
Q4864430,"Barry Livesey","British actor (1904-1959)"
Q4864433,"Barry Lloyd","Welsh cricketer (1953-2016)"
Q4864507,"Barry Metcalf","Welsh cricketer"
Q4878858,"Becky Morgan","Welsh professional golfer"
Q4879480,"Bedwyr Williams","Welsh artist"
Q4885193,"Ben Addis","Welsh actor"
Q4885611,"Ben Evans","Wales rugby union player"
Q4885613,"Ben Evans","Welsh rugby league footballer"
Q4885643,"Ben Flower","Wales international rugby league footballer"
Q4885931,"Ben John","Welsh rugby union player"
Q4886058,"Ben Lewis","Welsh rugby union player"
Q4886292,"Ben Phillips","Welsh rugby union player"
Q4886701,"Ben Williams","British actor, 1892–1959"
Q4887284,"Benedict James","British writer"
Q4888470,"Benjamin Davies","Welsh opera singer"
Q4888734,"Benjamin Gronow","Welsh rugby union footballer and coach, and rugby league footballer"
Q4889295,"Benjamin Thomas Williams","British politician"
Q4893213,"Bernard Hedges","Welsh cricketer (1927-2014)"
Q4893330,"Bernard Knight","British forensic pathologist and author"
Q4895151,"Bert Jenkins","Welsh rugby union and rugby league footballer"
Q4895159,"Bert Jones","Welsh rugby union and rugby league footballer"
Q4895337,"Bert Thomas","British cartoonist"
Q4895662,"Bertie Perkins","English cricketer (1905-1992)"
Q4897688,"Bethan Sayed","Welsh politician (born 1981)"
Q4898236,"Betsi Cadwaladr","Welsh nurse"
Q4899014,"Betty Williams","Welsh politician and Member of Parliament (born 1944)"
Q4899417,"Beverley Jones","Paralympic Welsh athlete"
Q4908703,"Bill Davies","cricketer (1906-1971)"
Q4908899,"Bill Emery","Welsh cricketer (1897-1962)"
Q4908933,"Bill Everson","Welsh rugby union player"
Q4909481,"Bill Hopkin","Welsh rugby union and rugby league footballer"
Q4910545,"Bill Price","Welsh  physicist and spectroscopist"
Q4911295,"Bill Watkins","Welsh cricketer, and rugby league footballer (1923-2005)"
Q4912305,"Billy Butler","British radio presenter"
Q4912429,"Billy Davies","Australian politician (1884-1956)"
Q4912481,"Billy Douglas","Welsh rugby union footballer"
Q4912940,"Billy Mainwaring","rugby union player"
Q4913312,"Billy Slade","Welsh cricketer (1941-2019)"
Q4913424,"Billy Waith","Welsh boxer"
Q4913438,"Billy Watkins","Welsh rugby union and rugby league footballer"
Q4932323,"Bob Dudley-Jones","Welsh cricketer"
Q4932463,"Bob Franklin","British-Australian comedian and actor"
Q4932881,"Bob Humphrys","British broadcaster"
Q4932960,"Bob Jones","Welsh rugby union player"
Q4935805,"Bobi Jones","British academic"
Q4943807,"Claire Curtis-Thomas","British politician (born 1958)"
Q4955010,"Bradley Pryce","British boxer"
Q4955057,"Bradley Wadlan","Welsh cricketer (born 1988)"
Q4963178,"Brian Bowditch","British mathematician"
Q4963235,"Brian Butler","Welsh rugby union and rugby league footballer"
Q4963315,"Brian Caswell",author
Q4963491,"Brian Curvis","Welsh boxer"
Q4963931,"Brian Hancock","British politician (born 1950)"
Q4964202,"Brian Jenkins","British politician (born 1942)"
Q4964262,"Brian Juliff","Welsh rugby union and rugby league footballer"
Q4964714,"Brian McGuinness","British philosopher"
Q4964811,"Brian Morris, Baron Morris of Castle Morris","British politician and writer (1930-2001)"
Q4965053,"Brian Plummer","Welsh writer"
Q4965353,"Brian Sparks","Welsh rugby union and rugby league footballer"
Q4965445,"Ruth Manning-Sanders","British poet and author"
Q4966702,"Bridget Bevan","Welsh philanthropist"
Q4967443,"Bright Light Bright Light",singer
Q4968450,"Brinley Williams","Welsh rugby union and rugby league footballer"
Q4980861,"Bryn Griffiths","Welsh rugby union player"
Q4980875,"Bryn Howells","Welsh rugby union and rugby league footballer"
Q4980907,"Bryn Merrick","Welsh musician"
Q4980910,"Bryn Phillips","Welsh rugby union and rugby league footballer"
Q4981021,"Brynmor Williams","Welsh rugby union and rugby league footballer"
Q4984759,"Buddug Verona James","Welsh singer"
Q4984762,"Buddug Williams","Welsh actress"
Q498915,"Edgeworth David","Australian geologist"
Q499641,"Rhain Dremrudd","Welsh sovereign"
Q5004338,"Byron Davies","British politician (born 1952)"
Q5004379,"Byron Hayward","Welsh rugby union footballer and coach"
Q5006423,"C. E. Wynn-Williams","Welsh physicist"
Q5006871,"C. Stewart Sheppard","American educator"
Q50078331,"Elise Hughes","Welsh association football player"
Q5017482,"Cai Griffiths","Welsh rugby union player"
Q5026420,"Cameron Wright","Welsh scientist"
Q5032084,"Candy Evans","Welsh rugby union and rugby league footballer"
Q5037322,"Cara Readle","British actress"
Q5037598,"David Caradoc Evans","Welsh writer"
Q5037600,"Caradog Roberts","British musician"
Q5037601,"Caradog Jones","British mountain climber"
Q50379493,"Chelsea Lewis","Welsh netball player"
Q5039201,"Carey Morris","British artist (1882-1968)"
Q5040714,"Carl Roberts",cricketer
Q5040766,"Carl Sargeant","Welsh politician (1968-2017)"
Q5044730,"Carole Seymour-Jones","Welsh writer"
Q5045217,"Caroline Sheen","Welsh actress"
Q5051783,"Cate Le Bon","Welsh singer-songwriter"
Q505190,"Andrew Hourmont",
Q5052698,"Catherine Gladstone","wife of British Prime Minister"
Q5056313,"Cecil Spiller","Welsh cricketer (1900-1974)"
Q5057382,"Ceiri Torjussen","British composer"
Q5057386,"Ceiron Thomas","Welsh rugby union player"
Q5057975,"Celia Barlow","British politician (born 1955)"
Q5058868,"Cennydd Traherne","Welsh landowner"
Q5063221,Cenydd,"6c Welsh saint"
Q5064237,"Ceri Morgan","Welsh darts player"
Q5064239,"Ceri Phillips","British actor"
Q506650,"Andrew Pagett","Welsh snooker player"
Q5074191,"Chard Hayward","Australian actor"
Q5075082,"Charles Allen Duval","Welsh painter, photographer and writer (1810-1872)"
Q5075534,"Charles Benjamin Redrup","British engineer"
Q5076682,"Charles Dale","British actor"
Q5079440,"Charles James Jackson","Welsh businessman and collector"
Q5079461,"Watkin Williams","British judge and politician"
Q5080412,"Charles Lynn Davies","Welsh rugby union player"
Q5081341,"Octavius Morgan","Welsh politician"
Q5081561,"Charles Peart","sculptor and wax modellor"
Q5082587,"Charles Spencer","Welsh cricketer (1903-1941)"
Q5082610,"Charles St John David","Australian civil engineer"
Q5085196,"Charlie Martin","British racing driver"
Q5085718,"Charlie Winslade","Welsh rugby union and rugby league footballer"
Q5092334,"Cherry Dee","British model"
Q5106346,"Chris Dale","Rock Bassist"
Q5107007,"Chris Jenkins","Welsh powerlifter"
Q5107567,"Chris Needs","Welsh radio personality and musician"
Q5110965,"Christine Chapman","British politician"
Q5111036,"Christine Gwyther","British politician (born 1959)"
Q5112292,"Christopher Evans","British computer scientist"
Q5112865,"Christopher Meredith","British writer"
Q5113212,"Christopher Seldon","Welsh rugby union and rugby league footballer"
Q5113432,"Christopher Williams","Welsh artist (1873-1934)"
Q5119067,"Cian Ciaran","Welsh musician"
Q5119144,"Ciaran Joyce","British actor"
Q5125320,"Claire Summers","Welsh journalist"
Q5125351,"Claire Williams","Paralympic track and field athlete"
Q5126032,"Clara Novello Davies","Welsh singer, teacher and conductor"
Q512659,"Laura Ford","British sculptor (born 1961)"
Q5129068,"Claude Warner","Welsh cricketer (1882-1965)"
Q5131317,"Clement Edwards","British politician (1869-1938)"
Q5132577,"Cliff Curvis","Welsh boxer"
Q5132743,"Cliff Richards","Rugby player"
Q5132853,"Clifford Allen, 1st Baron Allen of Hurtwood","British politician and pacifist (1889-1939)"
Q5132938,"Clifford Evans","Welsh actor"
Q5133076,"Clifford Williams","Welsh rugby union and rugby league footballer"
Q5133077,"Clifford Williams","Welsh actor (1926-2005)"
Q5134124,"Clinton Greyn","British actor"
Q5134498,"Clive Best","Welsh rugby union and rugby league footballer"
Q5134507,"Clive Branson","British fisherman"
Q5134542,"Clive Davies",cricketer
Q5134586,"Clive Griffiths","Welsh rugby union footballer and coach, and rugby league footballer and coach"
Q5134608,"Clive Jenkins","British trade unionist"
Q5134670,"Clive Shell","Welsh rugby union player"
Q5144972,"Colin Casemore","English cricketer"
Q5145044,"Colin Dixon","Welsh rugby union footballer, and rugby league footballer and coach"
Q5145075,"Colin Evans","Welsh rugby union footballer, and rugby league footballer and coach"
Q5145089,"Colin Fletcher","American writer"
Q5145239,"Colin Jeavons","British television actor"
Q5145249,"Colin Jones","British boxer"
Q5145355,"Colin McCormack","British actor (1941-2004)"
Q5145585,"Colin Standing","Welsh rugby union and rugby league footballer"
Q514831,"Lyn Evans","Welsh physicist"
Q515207,"Perdita Weeks","British actress"
Q5157987,"Con Murphy","Welsh rugby union and rugby league footballer"
Q515948,"Helen Ward","Welsh footballer (born 1986)"
Q5167027,"Cooke Davies","Canadian politician"
Q517287,"Dafydd ap Gwilym","Welsh poet"
Q5180893,"Craig Defoy","professional golfer"
Q5180944,"Craig Evans","Welsh cricketer"
Q5180983,"Craig Gallivan","British actor"
Q5181010,"Craig Handley","British film director"
Q5181044,"Craig Hill","Welsh rugby union player"
Q5181341,"Craig Price","Welsh rugby union player"
Q518175,"Doris Hare","British actress"
Q51907633,"Banadlwen ach Cynyr","5c female Welsh saint"
Q51908481,"Saint Bilo","5th century female Welsh saint"
Q51954783,Keneython,"5c Welsh female saint"
Q5200865,"Cyril Rowland","Welsh cricketer (1905-1971)"
Q5200894,"Cyril Tamplin","Welsh cricketer"
Q52059552,"Eleri o Gwytherin",
Q52060057,"Elliw ach Cadog","6c Welsh saint"
Q5208375,"Dafydd Bach ap Madog Wladaidd","Welsh poet, called Sypyn Cyfeiliog"
Q5208381,"Dafydd Hewitt","Welsh rugby union player"
Q52083916,"Eurgain ach Maelgwn Gwynedd","Welsh saint"
Q5208983,"Dai Davies","Welsh cricketer (1896-1976)"
Q5208989,"Dai Davies","British politician (born 1959)"
Q5208990,"Dai Edwards","Welsh rugby league and rugby union footballer"
Q5208992,"Dai Dower","British boxer"
Q5209004,"Dai Hiddlestone","Welsh rugby union player"
Q5209015,"Dai Lewis","Welsh rugby union player"
Q5209027,"Dai Prosser","Welsh rugby union footballer, and rugby league footballer and coach"
Q5209031,"Dai Rees","Welsh rugby union footballer and coach"
Q5209044,"Dai Westacott","Welsh rugby union player"
Q5211687,"Dalton Grant","Welsh rugby league footballer"
Q5212328,"Damian Shirazi","Welsh cricketer"
Q5212452,"Damien Hudd","Welsh rugby union and rugby league footballer"
Q5213252,"Dan Cherry","Welsh cricketer"
Q5213554,"Dan George","Welsh rugby union player"
Q5214037,"Dan Mitchell",comedian
Q5214493,"Dan Thomas","rugby player"
Q5217351,"Daniel Griffiths","Welsh rugby union player"
Q5217448,"Daniel Hawksford","British actor"
Q5217665,"Daniel James","Welsh poet, called Gwyrosydd"
Q5217957,"Daniel Lloyd","Welsh actor"
Q5218391,"Daniel Pascoe","Welsh rugby union and rugby league footballer"
Q5218767,"Daniel Silvan Evans","Welsh scholar and lexicographer"
Q5219099,"Daniel Williams","Welsh theologian"
Q52191516,"Euryn Ogwen Williams","Welsh television executive and producer (1942-2021)"
Q5219402,"Danielle Lineker","Welsh model, television personality and actress"
Q5220422,"Danny Harris","Welsh rugby union and rugby league footballer"
Q5220492,"Danny Jones","Welsh rugby league footballer"
Q5220946,"Danny Wilson","Welsh rugby union and rugby league footballer"
Q5222678,"Dari Taylor","British politician (born 1944)"
Q522373,"Matt Ryan",actor
Q5224868,"Darren Daniel","Welsh rugby union player"
Q5224901,"Darren Edwards","Welsh rugby union footballer and coach"
Q5224988,"Darren Jeffries","British actor"
Q5225192,"Darren Thomas","Welsh cricketer"
Q5225221,"Darren Waters","rugby player"
Q52269206,"Edward Wynne","Welsh lawyer, landowner and Chancellor of Hereford (1681–1755)"
Q5228567,"Dave Colclough","British poker player"
Q5229464,"Dave Newsham","Scottish racing driver."
Q5229984,"Dave Thomas","professional golfer"
Q5230801,"David Anthony","Paralympic rugby player"
Q5231425,"David Bishop","Welsh rugby player, born 1983"
Q5232685,"David Crouch","British historian"
Q5232811,"David Daniel","Welsh rugby union player"
Q5232851,"David Davies","Welsh Conservative politician, born 1870"
Q5232862,"David Davis","Welsh minister and poet"
Q5233287,"David Edwards","British game show contestant, born 1947"
Q5233447,"David Evans","Welsh archdeacon (1897 to 1910)"
Q5233450,"David Evans","Welsh priest, born 1705"
Q5233461,"David Evans","Welsh musician and composer"
Q5233468,"David Evans","Welsh rugby player, born 1988"
Q5233893,"David Fulker","Behavioural geneticist"
Q5233996,"David Galloway","Welsh rugby league footballer"
Q5234352,"David Green","Welsh cricketer, born 1939"
Q5234415,"David Griffiths","Welsh Christian missionary and translator in Madagascar"
Q5234488,"David Gwilym Morris Roberts","British civil engineer"
Q5234493,"David Gwynne","Welsh cricketer (1904-1934)"
Q5234750,"David Harris Davies","Welsh rugby player"
Q5235232,"David Hughes","Welsh opera singer, born 1925"
Q5235233,"David Hughes Parry","University academic and administrator"
Q5235561,"David James","Welsh rugby union and rugby league footballer (c. 1866-1929)"
Q5235562,"David James","Welsh rugby union and rugby league footballer (1906-c. 1981)"
Q5235563,"David James","Welsh rugby league footballer (1985-)"
Q5235566,"David James Davies","Welsh economist, industrialist, writer, activist and pilot"
Q5235613,"David Jenkins","Welsh judge and Royalist during the English Civil War"
Q5235616,"David Jenkins","Welsh librarian, born 1912"
Q5235621,"David Jenkins","Welsh rugby union and rugby league footballer"
Q5235622,"David Jenkins","Welsh rugby union and rugby league footballer (1904-1951)"
Q5235664,"David John Hayward","Welsh rugby union player"
Q5235732,"David Jones","Welsh darts player"
Q5235758,"David Joseph Miller","British ice hockey player"
Q5236,"Edward II of England","King of England; born in Caernarfon"
Q5236556,"David Lewis","Welsh clergyman, born 1760"
Q5236563,"David Lewis","Welsh lawyer and judge, born 1520"
Q5236568,"David Lewis","Welsh Anglican priest and academic"
Q5236695,"David Lloyd","Welsh politician, born 1956"
Q5236703,"David Lloyd","Welsh judge, born 1656"
Q5236710,"David Lloyd","Welsh tenor singer"
Q5237142,"David Marquand","British politician (born 1934)"
Q5237493,"David Melding","British politician (born 1962)"
Q5237721,"David Morgan Evans","Welsh rugby union and rugby league footballer"
Q5237724,"David Morgan Jenkins","Welsh rugby union and rugby league footballer"
Q5237740,"David Morrell",cricketer
Q523810,"Richard Deacon","British artist"
Q5238466,"David Pearce","British boxer"
Q5238549,"David Petersen","Welsh sculptor"
Q5238554,"David Phelps","British sport shooter"
Q5238564,"David Phillips Jones","Welsh rugby union player"
Q5238746,"David Pugh","British politician"
Q5238956,"David Rees-Williams, 1st Baron Ogmore","British politician (1903-1976)"
Q5238958,"David Rees","Welsh Congregationalist minister"
Q5239033,"David Richards","Welsh poet"
Q5239120,"David Roberts","Welsh swimmer, born 1980"
Q5239330,"David Ryder Prangley","Welsh musician"
Q5240329,"David Thaxton","British musical theatre actor"
Q5240335,"David Thomas","Welsh clergyman and historian"
Q5240340,"David Thomas","Welsh poet and teacher, born 1828 (Dewi Hefin)"
Q5240346,"David Thomas","19th-century Welsh preacher"
Q5240350,"David Thomas","Welsh composer, born 1881"
Q5240352,"David Thomas","Welsh industrialist, born 1794"
Q5240355,"David Thomas","Welsh clergyman and missionary, born 1829"
Q5240884,"David Watts Morgan","Welsh politician (1867-1933)"
Q5241124,"David William Thomas","American mayor"
Q5241134,"David Williams","Welsh Liberal Party politician"
Q5241141,"David Williams","advertising executive and crime writer"
Q5241167,"David Willicombe","Welsh rugby union and rugby league footballer"
Q5242064,"Edern Dafod Aur","Welsh writer"
Q5242467,"Dawn McCafferty","Commandant of the Royal Air Force Air Cadets"
Q5249315,"Declan Affley","Australian musician"
Q5249703,Decuman,saint
Q5249730,"Deddie Davies","British actress (1938-2016)"
Q5252401,"Deian Hopkin","Historian and academic administrator"
Q5252782,"Deke Leonard","Welsh musician"
Q5254281,"Delme Bryn-Jones","Welsh opera singer"
Q5254977,"Delyth Evans","Welsh politician"
Q52557168,"Llŷr Forwen","6c Welsh saint"
Q5257247,"Denis Galloway","British ethnographer and photographer"
Q5257297,"Denis John Boocker","Welsh rugby league footballer"
Q5257677,"Denise Gyngell","British actress"
Q525803,"David Owen","Welsh poet and farmer"
Q5258163,"Dennis Avoth","Heavyweight boxer"
Q5258538,"Dennis Hughes","Welsh rugby union player"
Q5258810,"Dennis O'Neill","Welsh opera singer"
Q5258949,"Dennis Shea","Welsh cricket player (1924-1982)"
Q5259851,"Denys Graham","Welsh actor"
Q5259856,"Denys Irving","British musician and filmmaker"
Q5259874,"Denys Val Baker","English writer"
Q5261840,"Derek Brockway","Welsh weather forecaster"
Q5262063,"Derek Howes","Welsh rugby union and rugby league footballer"
Q5262090,"Derek Jones","Welsh civil servant"
Q5262285,"Derek Prag","British politician (1923-2010)"
Q5262465,"Derek Williams","Welsh cricketer and rugby union player (1924-2014)"
Q5262848,"Dermot Tynan","Irish film producer"
Q5263402,"Deryn Rees-Jones","Welsh poet"
Q5263425,"Desmond Barry","British writer"
Q5263436,"Des Case","Welsh rugby union and rugby league footballer"
Q5268240,"Dewi Morgan","Welsh poet"
Q52689397,"Momodou Touray","Welsh association football player"
Q5270024,"Di Botcher","Welsh actress"
Q5273682,"Dickie David","Welsh rugby union and rugby league footballer"
Q5273709,"Dickie Williams","Welsh rugby union and rugby league footballer"
Q527532,"Andy Scott","British musician and songwriter"
Q5276961,"Dillwyn Miles","Welsh writer and historian"
Q5277103,"Dilwyn Lewis","British priest"
Q5277105,"Dilys Breese","British ornithologist and television producer"
Q5277110,"Dilys Elwyn-Edwards","Welsh composer"
Q52823870,"Daniel Jefferies","association football player"
Q5293514,"Don Shepherd","Welsh cricketer (1927-2017)"
Q5294060,"Donald Braithwaite",boxer
Q5294449,"Donald Gullick","Welsh rugby union footballer, and rugby league footballer and coach"
Q5294516,"Donald Holroyde Hey","Welsh organic chemist"
Q5295244,"Donald Vines","Welsh rugby union and rugby league footballer"
Q5296340,"Donna Edwards","Welsh actress"
Q5298404,"Dorothy Edwards","Welsh writer"
Q5298607,"Dorothy Rees","British politician"
Q5298632,"Dorothy Simpson","English-language writer of mystery novels, and a winner of a Silver Dagger Award from the Crime Writers' Association of Great Britain"
Q5298657,"Dorothy Thornhill","British politician (born 1955)"
Q5298825,"Rhian O'Sullivan","Welsh darts player"
Q5300818,"Doug Phillips","Welsh rugby union and rugby league footballer"
Q5301326,"Douglas Chamberlain","British cardiologist"
Q5301779,"Douglas Marsden-Jones","Welsh rugby union player"
Q530256,"Edwin Regan","Catholic bishop"
Q5303665,Dowster,"British DJ"
