Q100154,"Emmy Klieneberger-Nobel","German Jewish microbiologist"
Q364591,"Nathaniel de Rothschild","French banker"
Q364619,"John Clive Ward","British-Australian nuclear physicist"
Q364629,"Harry Colt","Golf course arcitect"
Q364653,"Donald Ross","Professional golfer, golf course architect"
Q364658,"Henry Tonks","British artist (1862-1937)"
Q364956,"Alexander Crum Brown","Scottish organic chemist"
Q365124,"Horatio Gates","American general in the American Revolutionary War (1727-1806)"
Q365139,"William Renshaw","English tennis player"
Q365502,"Adolph Saphir","Hungarian-born presbyterian minister"
Q365574,"Nikolai Medtner","British composer and pianist"
Q365650,"Allan Pinkerton","American Civil War spy"
Q366029,"Adolphus Warburton Moore","British climber"
Q366066,"John Flaxman","English artist (1755-1826)"
Q366070,"George William Russell","Irish writer, editor, critic, poet, and artistic painter"
Q366078,"David Edward Hughes","Welsh-American scientist and musician"
Q366086,"Rupert Brooke","British poet (1887-1915)"
Q366209,"Robert Stirling","clergyman, engineer, inventor of the Stirling engine"
Q366231,"Benjamin Samuel Williams","English orchidologist and nurseryman in London (1824-1890)"
Q366565,"Joe Bradford","English footballer (1901-1980)"
Q366710,"John Dick","Scottish footballer and manager (1877-1932)"
Q366752,"Steve Bloomer","English footballer and manager (1874-1938)"
Q366910,"Ron Moody","British actor"
Q367530,"Jim Sims","English cricketer (1903-1973)"
Q367745,"Francis Thompson","British poet"
Q367804,"Don Rendell","British saxophonist"
Q367821,"Sam Cowan","English football player and manager (1901-1964)"
Q368264,"Charles Villiers Stanford","Irish composer, music teacher, and conductor"
Q368519,"George MacDonald","Scottish author, poet and Christian minister"
Q368705,"Alfred William Howitt","Australian scientist (1830-1908)"
Q368762,"Thomas Bouch","railway engineer"
Q369022,"Walter Bagehot","British journalist, businessman, and essayist (1826-1877)"
Q369067,"William F. Barrett","English physicist and parapsychologist"
Q369382,"Billy Mayerl","British musician"
Q369621,"Thomas Hill Green","British philosopher"
Q369630,"Harry Govier Seeley","British paleontologist"
Q369723,"Lord Alfred Paget","British politician (1816-1888)"
Q369776,"David Roberts","Scottish painter (1796-1864)"
Q369790,"George Gissing","English novelist"
Q369922,"Jim Barrett, Sr.","English footballer (1907-1970)"
Q369985,"Valentine Baker","served in all three of the British Armed Forces during the First World War"
Q370026,"Percy Herbert","British actor (1920-1992)"
Q370037,"Alfred Kempe","British mathematician"
Q370054,"Daniel Pedoe","British mathematician"
Q370144,"William Augustus Guy","British statistician"
Q370241,"Rowland Hill","English educational, social and postal reformer (1795-1879)"
Q370308,"Henry Walter Bates","English naturalist and explorer"
Q370360,"Tristan Jones","Welsh sailor"
Q370415,"Howard Vaughton","English footballer (1861-1937)"
Q370589,"Thomas Crofton Croker","Irish antiquary"
Q370705,"Percy Fawcett","British explorer, anthropologist and archaeologist"
Q370718,"Norman Bailey","English footballer (1857-1923)"
Q371504,"Thomas Anderson","Scottish botanist (1832-1870)"
Q371838,"William Cail","English rugby union footballer, coach and administrator"
Q371968,"Edmund Anderson","Chief Justice of the Common Pleas"
Q372692,"Adrian Brunel","British film director (1892-1958)"
Q372748,"Adrian Carton de Wiart","Recipient of the Victoria Cross"
Q372876,"William Pimm","sport shooter (1864-1952)"
Q372984,"Charles Lamb","English essayist"
Q373029,"George Martin","Scottish footballer (1899-?)"
Q373119,"Adrian Hardy Haworth","English entomologist, botanist and carcinologist (1767-1833)"
Q373215,"Adrian John Brown","British biochemist"
Q373306,"Alan Napier","English actor"
Q373545,"Herbie Roberts","English footballer (1905-1944)"
Q375106,"Joseph Grimaldi","English actor, comedian and dancer"
Q375395,"Richard Bache","American businessman and Postmaster General"
Q375467,"Prince Augustus Frederick, Duke of Sussex","British prince (1773-1843)"
Q375720,"Douglas Gracey","British Indian Army general"
Q375933,"Alexander Burnes","Explorer, political officer in British India"
Q376085,"Leonard Borwick","British musician"
Q376087,"Samuel Baker","British explorer, officer, naturalist, big game hunter, engineer, writer and abolitionist"
Q376090,"Hugh Miller","Scottish geologist and folklorist (1802-1856)"
Q376098,"Henry Bird","British chess player"
Q376336,"Marcus Fleming","British economist"
Q376354,"Samuel Eyles Pierce","English preacher, theologian, and Calvinist minister"
Q376367,"Thomas Brisbane","British Army general"
Q376398,"Charles Klein","British-American playwright and actor"
Q376467,"William Ayerst Ingram","English artist (1855-1913)"
Q376691,"Charles Joseph Hullmandel","English lithographer of French descent"
Q376848,"William George Keith Elphinstone","British Army general"
Q376888,"Isaac Shoenberg","Russian-British engineer and entrepreneur"
Q376964,"Leslie Green","English architect"
Q377175,"Thomas Cochrane, 1st Baron Cochrane of Cults","British politician (1857-1951)"
Q377308,"William Thomson","Archbishop of York"
Q377327,"Henry Somerset, 1st Marquess of Worcester","Marquess of Worcester"
Q377337,"Dorothy Sidney, Countess of Leicester","English noble"
Q377361,"Fanny Parkes","British travel writer on India"
Q377614,"Sir Lowthian Bell, 1st Baronet","Ironmaster, industrial chemist, railway owner (1816-1904)"
Q377646,"Dennis Hodgetts","England international footballer (1863-1945)"
Q377800,"Smithson Tennant","British chemist"
Q377848,"Thomas Charles Hope","Scottish physician and chemist"
Q377872,"Ivor Powell","Welsh footballer, football manager (1916-2012)"
Q377883,"David Jack","English footballer (1899-1958)"
Q378065,"Charles Hatchett","British chemist"
Q378344,"Wilfred Thomason Grenfell","Medical missionary to Newfoundland and Labrador"
Q378629,"John Lindley","English botanist, gardener, orchidologist, editor, scientific illustrator (1799–1865)"
Q378785,"Wilfrid Mellers","British composer"
Q379035,"Thomas Edmondston","British botanist (1825-1846)"
Q379069,"Solomon Schonfeld","British rabbi"
Q379367,"Robert Stawell Ball","Irish astronomer"
Q379580,"John Muir","Scottish-born American naturalist and author (1838-1914)"
Q379628,"Robert Conquest","British historian and poet"
Q379816,"Oliver Lodge","British physicist"
Q380291,"Philip Massinger","English writer"
Q380383,"Thomas Pringle","Scottish writer, poet, abolitionist (1789-1834)"
Q380774,"John Williams Wilson","Chilean Navy lieutenant, governor of Talcahuano (1798-1857)"
Q380875,"Thomas Telford","Scottish civil engineer, architect and stonemason"
Q380910,"Aeneas Mackintosh","British Merchant Navy officer and Antarctic explorer"
Q381128,"Benjamin Vulliamy",clockmaker
Q381265,"Allan Robertson","professional golfer"
Q381352,"Robert Alexander Rankin","Scottish mathematician"
Q381365,"Morgan Crofton","Irish mathematician"
Q381542,"Henry Macintosh","Scottish athlete"
Q381728,"George Stubbs","British painter (1724-1806)"
Q382221,"John Shae Perring","British academic"
Q382601,"William Wilton","Manager of Rangers Football Club (1865-1920)"
Q382667,"C. F. Varley","British engineer and inventor"
Q382771,"Herbert Baker","British architect"
Q382786,"A. E. W. Mason","British writer (1865-1948)"
Q383853,"Henry Litolff","Piano virtuoso, composer and music publisher"
Q384190,"Henry Frederick Stephenson","Royal Navy officer, courtier, and Arctic explorer"
Q384501,"Stanley Morison","type designer"
Q384766,"Robert Moffat","Scottish missionary"
Q384882,"Alexander Bain","Scottish philosopher and educationalist"
Q385276,"Charles Nicholson","British musician"
Q385303,"John L. Harper","British biologist"
Q385574,"Jim Webb","English-Welsh rugby union and rugby league footballer"
Q385644,"Joseph Frederick Whiteaves","Canadian paleontologist"
Q385683,"Jonathan Pereira","British pharmacologist"
Q385803,"Robin Hill","British biochemist"
Q386059,"Hereward Carrington","Jersey parapsychologist"
Q386213,"John Spencer, 3rd Earl Spencer","British politician (1782-1845)"
Q386247,"Elizabeth Forbes","Canadian artist (1859-1912)"
Q386316,"David Williams","Welsh historian"
Q386392,"Edward Matthew Ward","painter (1816-1879)"
Q386694,"William Willcocks","British civil engineer"
Q387440,"Joe Smith","England international footballer who played for West Brom and Birmingham (1890-1956)"
Q387458,"Charles Bradlaugh","British freethinker and politician"
Q387620,"Vince Hayes","English footballer and manager (1879-1964)"
Q387724,"Worthington George Smith","British botanist (1835-1917)"
Q388781,"Mary MacCarthy","British writer (1882-1953)"
Q388848,"Mary Bruce, Countess of Elgin","b. 1777; d. 1855; m. Thomas, 7th Earl of Elgin and 11th of Kincardine"
Q389462,"Leonard Bairstow","British mathematician"
Q389666,"John Playfair","Scottish scientist and mathematician"
Q389941,"Robert Murray M'Cheyne","Minister in the Church of Scotland prior to the Disruption"
Q390218,"Alexander Buchan","Scottish meteorologist, oceanographer and botanist (1829-1907)"
Q390352,"Peter Barlow","British mathematician and physicist"
Q390625,"Thomas Burn","English footballer"
Q391207,"Muriel Angelus","actress (1909-2004)"
Q394597,"Agnes Morton","English tennis player"
Q394628,"Raymond Williams","Welsh scholar, author, and Marxist literary critic"
Q429858,"W. W. Rouse Ball","English mathematician"
Q430893,"Charles Kent","British-American actor and film director (1852-1923)"
Q431034,"Florence Baker",explorer
Q431176,"Frances Villiers, Countess of Jersey","mistress of George IV"
Q431240,"Nora Kershaw Chadwick","British medievalist"
Q431614,"Catherine Booth","Mother of The Salvation Army"
Q432316,"Donald Sinden","English actor"
Q563136,"Michael Argyle","English social psychologist"
Q563232,"Geoffrey Bayldon","British actor (1924-2017)"
Q563342,"Lord Edward Somerset","British Army general (1776-1842)"
Q563618,"William Palmer","English doctor found guilty of murder"
Q565422,"Anne Hunter","British poet"
Q565519,"Anne Loughlin","British activist"
Q565581,"Anne Marsh-Caldwell","English novelist"
Q565833,"Anne Isabella Thackeray Ritchie",novelist
Q566955,"Annie Hall Cudlip","English novelist and editor"
Q567495,"William Lindley","English civil engineer"
Q567547,"Ian Hamilton Finlay","Scottish poet, writer, artist and gardener (1925-2006)"
Q567735,"Charles Robert Cockerell","English architect, archaeologist, and writer"
Q567826,"John Edward Jones","American politician (1840-1896)"
Q567964,"William Ellery","American politician and signer of the United States Declaration of Independence"
Q568051,"Stewart Headlam","English Christian socialist (1847-1924)"
Q568443,"Sir John Lubbock, 3rd Baronet","English banker, barrister, mathematician, astronomer (1813–1865)"
Q570152,"Beauvoir De Lisle","British Army general"
Q570383,"William Mundy","British composer"
Q571435,"Stuart Milner-Barry","British codebreaker, civil servant, and chess player"
Q571640,"Frederick G. Donnan","Irish scientist"
Q572278,"Adam Clark","Scottish engineer"
Q572978,"Anthony Carlisle","British surgeon"
Q573174,"Anthony Durnford","British Army officer"
Q573268,"Anthony French","American scientist"
Q573284,"Anthony George Lyster","British architect"
Q573477,"Anthony Kershaw","British politician (1915-2008)"
Q573690,"Anthony Musgrave","Governor of Newfoundland, Vancouver Island and British Columbia, Natal, South Australia, Jamaica, and Queensland (1828-1888)"
Q573778,"Arthur Surridge Hunt","English papyrologist"
Q573834,"De Lacy Evans","British Army general (1787-1870)"
Q573844,"Anthony Quinton, Baron Quinton","British philosopher (1925-2010)"
Q573967,"Anthony Salvin","architect (1799-1881)"
Q574144,"Henry Peach Robinson","British photographer"
Q574404,"Edmund Joseph Sullivan","British artist"
Q574883,"Geoffrey Jefferson","British neurologist"
Q574892,"Harry Moger","English footballer (1878-1927)"
Q574920,"Emrys Hughes","British politician (1894-1969)"
Q575043,"Alfred Austin","British writer and poet"
Q575253,"John Miers","British botanist and engineer (1789-1879)"
Q575318,"James Fintan Lalor","Irish revolutionary and journalist"
Q575668,"Lionel Atwill","English and American actor (1885-1946)"
Q576560,"Henry Tattam","British orientalist"
Q577169,"Albert Ball","British aviator killed in WWI"
Q577587,"Martyn Jordan","Welsh rugby union player"
Q577734,"John Palmer","British author, born 1885"
Q578003,"Albert Midlane","British writer"
Q578063,"Albert Prince-Cox","English footballer (1890-?)"
Q578648,"Richard Morton","English doctor"
Q579122,"Thomas Burrow","British Indologist"
Q579188,"Arthur Cravan","French boxer"
Q579684,"Jimmy Ross","Scottish footballer (1866-1902)"
Q579700,"James Lucas Yeo","British naval commander (1782-1818)"
Q579789,"George McCabe","English soccer referee"
Q579897,"Con Leahy","Irish athlete"
Q579902,"Alexander King","British chemist and environmentalist"
Q580005,"Fred Kennedy","English footballer (1902-1963)"
Q581262,"Emlyn Williams","Welsh writer, dramatist and actor (1905-1987)"
Q581389,"Edwin Benbow","British flying ace"
Q581552,"John Abercrombie","Scottish physician and author (1780 – 1844)"
Q581704,"Mabel Terry-Lewis","British actress (1872-1957)"
Q581763,"Graham Sutherland","English artist (1903-1980)"
Q583128,"Eric Morecambe","British comedian (1926-1984)"
Q583409,"Edmund James Banfield","British-born Australian writer, journalist and naturalist"
Q583602,"Tom Cribb","British boxer"
Q583615,"Henry Tate","English sugar merchant and philanthropist"
Q583712,"Harry Catterick","English footballer and manager (1919-1985)"
Q583918,"Abel Chapman","British conservationist"
Q584416,"Sir James Outram, 1st Baronet","British general"
Q585157,"Morris Bates","English footballer (1864-1905)"
Q585351,"William Kirby","Canadian writer (1817-1906)"
Q585362,"Joseph Osmond Barnard","British artist (1816-1865)"
Q585392,"Roy Bentley","English footballer (1924-2018)"
Q585747,"Jack Williams","Welsh rugby union player"
Q586391,"Thomas Benjamin Kennington","English genre, social realist and portrait painter (1856-1916)"
Q586655,"Robert Graham","Scottish botanist (1786-1845)"
Q586987,"Antoine Seilern","Art Historian and Collector"
Q587573,"Alexander Gordon Laing","Scottish explorer"
Q587899,"Charles Mills","English historian"
Q588201,"Samuel Ward","food taster to Bonnie Prince Charlie"
Q588320,"William Halse Rivers Rivers","English anthropologist, neurologist, ethnologist and psychiatrist"
Q588623,"John George Champion","English soldier, botanist, and explorer (1815-1854)"
Q589005,"Gino Watkins","British Arctic explorer"
Q590227,"Edward VIII","King of the United Kingdom and its dominions in 1936"
Q590453,"Edgar Lubbock","English footballer (1847-1907)"
Q591177,"Frederick James Furnivall","British lexicographer"
Q592127,"William Gilbert Puckey","New Zealand missinary"
Q592733,"Walter Chaffe","British tug of war competitor"
Q592864,"John Amner","English composer"
Q592914,"Sybil Leek","British astrologer"
Q593460,"Rodney Heath","Australian tennis player"
Q593661,"Charles Kingston","Australian politician (1850-1908)"
Q593843,"Cuthbert Ottaway","English sportsman (1850-1878)"
Q594020,"Richard Beeching, Baron Beeching","British physicist and engineer (1913-1985)"
Q594401,"Cyril Frankel","Film and television director"
Q594781,"Francis Rattenbury","Canadian architect"
Q594881,"William Denison","British colonial administrator"
Q594936,"William Bayliss","British physiologist"
Q595359,"Albert Chevallier Tayler","English artist (1862-1925)"
Q595372,"Bob John","Welsh football player and coach (1899-1982)"
Q595699,"Alexander Ross Clarke","British geodesist"
Q595756,"Bryan Donkin","British civil engineer (1768–1855)"
Q596403,"R. G. D. Allen","British economist"
Q597106,"David S. Hall","art director"
Q597283,"Herbert Horne","English poet, architect, typographer and designer, art historian and antiquarian"
Q597335,"John Robinson","English actor (1908-1979)"
Q597658,"William Ogilby","Irish zoologist"
Q597848,"Edmund FitzAlan-Howard, 1st Viscount FitzAlan of Derwent","British politician (1855-1947)"
Q598107,"Alfred Felix Landon Beeston","British Orintalist"
Q598795,"Harry Morton","English footballer (1909-1974)"
Q599171,"George Ayscue","Royal Navy admiral (1616-1671)"
Q599469,"Perce Blackborow","British explorer"
Q599800,"William Turton","British naturalist"
Q600636,"George Cavendish-Bentinck","British politician (1821-1891)"
Q600922,"Joan Dickson","Violoncel·lista britànica"
Q601187,"Donald Currie","Sir Donald Currie"
Q601275,"John Wisdom",philosopher
Q601969,"George Claridge Druce","English botanist (1850-1932)"
Q601971,"Michael Pertwee","British writer (1916-1991)"
Q601973,"Sam Pollard","British Methodist missionary"
Q602260,"George Prévost","British soldier and colonial administrator (1767-1816)"
Q602404,"Teddy Morgan","Welsh Rugby union footballer. (1880-1949)"
Q602895,"Robert Cecil Beavan","British army officer and zoologist"
Q603107,"Freeman Freeman-Thomas, 1st Marquess of Willingdon","British politician (1866-1941)"
Q603466,"Joe Hulme","Footballer; football manager (1904-1991)"
Q603955,"Jack Butler","English footballer (1894-1961)"
Q604351,"Samuel Wilderspin","British educator"
Q604763,"Henry George Kendall","British sea captain"
Q604992,"Bernard Verdcourt","British botanist and malacologist (1925-2011)"
Q605320,"George Busk","surgeon, zoologist and palaeontologist"
Q605477,"Tom Nicolson","British hammer thrower and shot putter"
Q606299,"Sir Arthur Dyke Acland, 13th Baronet","British politician (1847-1926)"
Q606524,"Alfred Schneidau","British cricketer and association football player (1867-1940)"
Q606792,"Andrew Weir, 1st Baron Inverforth","Scottish shipowner (1865-1955)"
Q607265,"Stapleton Cotton, 1st Viscount Combermere","British Army officer, diplomat and politician (1773-1865)"
Q608043,"Augustus Charles Hobart-Hampden","British admiral (1822-1886)"
Q608103,"Antony Lambton","British politician (1922-2006)"
Q608262,"George Vaughan Maddox","nineteenth-century British architect and builder"
Q608515,"August Jaeger","German composer"
Q608545,"George Thomas Bethune-Baker","British entomologist"
Q609058,"John Methuen","English diplomat and judge (1650-1706)"
Q609328,"John Lavery","Irish artist (1856-1941)"
Q609758,"Carleton Hobbs","British actor (1898-1978)"
Q609931,"Norman Shelley","British actor (1903-1980)"
Q610099,"Charles P. Dixon","British tennis player"
Q610545,"Alan Browning","British actor (1926-1979)"
Q610596,"Guy Stewart Callendar","British engineer"
Q611441,"Edward Wingfield Humphreys","New Zealand politician (1841-1892)"
Q611577,"Ralph Sharon","British pianist"
Q611727,"William Lee","English clergyman and inventor (1563-1614)"
Q611741,"Selwyn Jepson","British screenwriter"
Q611821,"John Hughlings Jackson","British neurologist"
Q612080,"Charles William Wilson","British military officer and geographer (1836-1905)"
Q612297,"Gilbert Thomas Burnett","British botanist (1800-1835)"
Q612434,"Tony Leach","English footballer (1903-1970)"
Q616519,"Cicely Courtneidge","English actress and comedienne"
Q616573,"Tony Norris","British ornithologist"
Q616719,"Giffard Le Quesne Martel","British Army officer"
Q616788,"Phil Taylor","English footballer (1917-2012)"
Q617383,"Roy Redgrave","English stage and silent film actor (1873-1922)"
Q620676,"Lancelot Law Whyte","Scottish industrial engineer"
Q621776,"Alexander John Ellis","English mathematician, philologist and musician"
Q622047,"Caroline Augusta Foley Rhys Davids","British academic"
Q622406,"Alf Ainsworth","football player (1913-1975)"
Q625552,"Francis Lister","British actor (1899-1951)"
Q626445,"Llewelyn Davies","British WWI flying ace"
Q626472,"Ernest Norton","British WWI flying ace"
Q626698,"Dennis Neilson-Terry","British actor (1895-1932)"
Q626857,"Hazel Terry","British actress (1918-1974)"
Q627588,"Mary Glynne","Welsh actress (1895-1954)"
Q627909,"Henry William Bristow","English geologist and naturalist (1817-1889)"
Q628009,"Frank Lawton","British actor (1904-1969)"
Q628089,"Lt.-Col. the Rt. Hon. Sir William Keppel, 7th Earl of Albemarle, KCMG, MP, PC, ADC","Soldier, politician (1832-1894)"
Q628299,"Les Talbot","English footballer and manager (1910-1983)"
Q628501,"Augustine Harris","Catholic bishop"
Q629117,"Edith of Wilton","English nun"
Q629160,"Frederick Arthur Askew Skuse","British entomologist"
Q629211,"Edward Löwe","Bohemian-English chess master"
Q629304,"Alfred Paget","British actor"
Q629955,"Malcolm Keen","British actor (1887-1970)"
Q631177,"Francis Fox Tuckett","English mountain climber"
Q631738,"George Ripley","Goorge Ripley (simyacı)"
Q632606,"Francis Kitto","British flying ace"
Q633061,"Archibald Blair","naval surveyor and lieutenant in the Bombay Marine."
Q633084,"Sir Archibald Campbell, 1st Baronet","British Army general"
Q633115,"Archibald Dalzel","British adventurer and Governor of the Gold Coast (1740-1811)"
Q633159,"Sir Archibald Edmonstone, 3rd Baronet","British baronet"
Q633167,"Archibald Geikie","Scottish geologist"
Q633248,"Desmond Jeans","British actor (1903-1974)"
Q633328,"Archibald Lyle","Scottish footballer"
Q633368,"James Everett","Irish politician (1894-1967)"
Q633377,"Robin Irvine","British actor (1901-1933)"
Q633378,"Archibald Menzies","Scottish surgeon, botanist and naturalist (1754-1842)"
Q633434,"Bill Eckersley","English footballer (1925-1982)"
Q633463,"Archibald Simpson","Scottish architect"
Q633479,"Archibald Scott Couper","British chemist"
Q633767,"W. P. Kellino","film director (1873-1957)"
Q633823,"Archie Goldie","Scottish footballer (1874-1953)"
Q633880,"Archie Hunter","Scottish footballer (1859-1894)"
Q633887,"Archie Jewell","sailor who survived the sinking of the Titanic"
Q633991,"Ursula Jeans","British actress"
Q634595,"Thomas Ravenscroft","English musician and editor"
Q634776,"John Pascoe Fawkner","(1792–1869) early pioneer to Victoria, Australia"
Q635578,"Charlie Collier","British motorcycle racer"
Q635739,"Herbert Greenhough Smith","British writer"
Q636326,"Henry Sweet","British linguist"
Q636421,"Benjamin Jones","English racing cyclist"
Q636430,"Edward Killingworth Johnson","British painter (1825-1896)"
Q637374,"William Macready","English stage actor"
Q637377,"John Brown","Scottish personal servant and favourite of Queen Victoria"
Q637459,"Henry Bentinck, 11th Earl of Portland","English noble (1919-1997)"
Q637730,"William Francis Patrick Napier","Irish soldier in the British Army and military historian"
Q638783,"Edwin Morgan","Scottish poet and translator"
Q639274,"G. A. Henty","British novelist (1832 – 1902)"
Q639410,"John Marshall","British captain (1748-1819)"
Q639647,"George Mackay Brown",poet
Q639838,"Thomas Bond","British surgeon"
Q639964,"Harriet Howard","mistress and financial backer of Louis Napoleon, later Napoleon III of France."
Q640338,"Robert Spencer, 1st Baron Spencer of Wormleighton","Member of Parliament (1570-1627)"
Q640339,"Kenneth Martin","painter and sculptor (1905-1984)"
Q641025,"Edward Augustus Bond","British librarian"
Q641219,"Arthur Conolly","British intelligence officer"
Q641304,"Stanley William Hayter","English print-maker and engraver (1901-1988)"
Q641835,"Michael Adeane, Baron Adeane","Private secretary"
Q641919,"Peter Hunt","British Army officer"
Q642630,"Harry Payne","Welsh rugby union player (1907-2000)"
Q643691,"David Holden","British journalist"
Q644179,"William Beauclerk, 9th Duke of St Albans","English cricketer (1801-1849)"
Q644406,"A. S. F. Gow","classical scholar"
Q644434,"William Thomas Pritchard","British consul and adventurer"
Q644784,"George Manville Fenn","English novelist"
Q644811,"Robert Seddon","English rugby union footballer"
Q644875,"Thomas Bell","English zoologist, surgeon and writer"
Q645138,"Walter Savage Landor","British writer"
Q645346,"George Hudson","British politician (1800-1871)"
Q645817,"Willie Park, Sr.","Scottish professional golfer"
Q645824,"Isaac Bentham","British water polo player"
Q646371,"Spenser Buckingham St. John","British diplomat"
Q646517,"Alice Werner","German writer"
Q646570,"Robert L. Chidlaw-Roberts","British World War I flying ace"
Q646592,"Harold Day","British WWI flying ace"
Q647094,"Adolphus William Ward","English historian (1837-1924)"
Q647141,"Robert Fisher Tomes","English zoologist"
Q647447,"Leo Smith","English Canadian cellist, composer and music writer"
Q647505,"Sir John Acton, 6th Baronet","prime minister of Naples (1736-1811)"
Q648243,"William Lewis","football person"
Q648344,"Lewis Thorpe","British philologist"
Q649822,"Quentin Bell","British art historian (1910-1996)"
Q649971,"Henry Liddell","Headmaster, lexicographer, classical scholar, and dean"
Q650048,"Robert Barr","Scottish-Canadian novelist"
Q650815,"Brandon Hurst","English actor (1866-1947)"
Q651099,"Richard Bancroft","British Archbishop of Canterbury"
Q652281,"George Keppel, 6th Earl of Albemarle","British Army general (1799-1891)"
Q652422,"Colin Gordon","British-Guyanese high jumper"
Q652514,"Alexander Baring, 1st Baron Ashburton","British politician (1774-1848)"
Q654095,"George Lennox Watson","Scottish naval architect"
Q654445,"George Ashmore","English footballer (1898-1973)"
Q654779,"Geoffrey de Havilland","English aircraft engineer"
Q654847,"William Ling","English association football referee"
Q654942,"William Edward Forster","British politician (1818-1886)"
Q655212,"Edmund Grindal","Archbishop of Canterbury"
Q655213,"Leigh Hunt","English critic, essayist, poet and writer"
Q655736,"William Wallace","Scottish composer and writer (1860-1940)"
Q655811,"Betty Joseph","British psychoanalyst"
Q656052,"Erasmus Ommanney","British Royal Navy admiral (1814-1904)"
Q656200,"Julian Bell","British writer (1908-1937)"
Q65648,"Charles Hallé","pianist and conductor, founder of the Hallé orchestra"
Q662521,"Reg Moss","British politician (1913-1995)"
Q662692,"John Gordon Skellam","British zoologist"
Q662770,"William Hurlstone","English composer"
Q663070,"Charles Portal, 1st Viscount Portal of Hungerford","Royal Air Force air marshal (1893-1971)"
Q663092,"Augustus Earle","British artist (1793-1838)"
Q663252,"Horatio Frederick Phillips","British aviation engineer"
Q664073,"Henry Douglas-Scott-Montagu, 1st Baron Montagu of Beaulieu","British politician (1832-1905)"
Q664486,"Alfred Henry Garrod",zoologist
Q664640,"Joseph Moses Levy","British publisher"
Q665052,"Gordon Hoare","English footballer"
Q67113,"Henry Frederick Conrad Sander","German-born horticulturist and botanist (1847-1920)"
Q67454,"Herbert Rosenfeld","British psychoanalyst"
Q67963,"Edward Dannreuther","German musician"
Q69521,"Johann von Lamont","Scottish-German astronomer and magnetician"
Q70272,"Carl Ludwig Christian Rümker","German astronomer"
Q70766,"Princess Frederica of Hanover","British princess"
Q70993,"Rudolph Ackermann","German-born British publisher"
Q71404,"Hans Singer","German economist"
Q71424,"Walter Lassally","British filmmaker"
Q71795,"George Osborne, 6th Duke of Leeds","British noble (1775-1838)"
Q72139,"Helmut Gernsheim","Photographer and historian"
Q73768,"Marius Goring","actor (1912-1998)"
Q74098,"James Vashon","British officer of the Royal Navy (1742-1827)"
Q74563,"Erasmus Gower","Royal Navy admiral (1742-1814)"
Q74605,"W. F. Grimes","British archaeologist"
Q74918,"Alice Dixon Le Plongeon","English photographer, archaeologist, traveller and author"
Q75389,"Miles Jackson-Lipkin","Hong Kong judge and criminal"
Q75411,"John Bowes-Lyon","English cricketer and stock broker (1886-1930)"
Q75627,"Bill Lockwood","Cricket player of England (1868-1932)"
Q76222,"William Trautmann","German-American trade unionist"
Q76526,"E. F. Schumacher","British economist"
Q76532,"William Joyce","British fascist and propaganda broadcaster (1906-1946)"
Q76692,"Augustus Siebe","Prussian engineer and inventor"
Q76821,"George Grey","British soldier, explorer, colonial administrator and writer (1812–1898)"
Q76871,"Bill Pertwee","English comedy actor (1926-2013)"
Q76882,"Hugh Welch Diamond","British photographer and psychiatrist"
Q76927,"Mary of Teck","Queen consort of the United Kingdom Empress of India"
Q77048,"Dietrich Küchemann","German aerodynamicist"
Q77802,"Alfred Beit","German born businessman and mining magnate in South Africa"
Q78480,"Max Perutz","Austrian-born British molecular biologist"
Q78491,"Stefan Zweig","Austrian writer (1881-1942)"
Q78815,"Friedrich von Hügel","Austrian Roman Catholic layman theologian"
Q78886,"Aloys Sprenger","Austrian orientalist"
Q80137,"Emily Brontë","English novelist and poet"
Q80913,"William Eagle Clarke","British ornithologist"
Q81244,"Karl Popper","Austrian-British philosopher of science"
Q81491,"Joseph Arch","British politician (1826-1919)"
Q81796,"J. M. Barrie","Scottish writer"
Q81899,"Dudley Clarke","British Second World War intelligence officer, and pioneer of strategic military deception tactics"
Q82006,"Benjamin Disraeli","British politician, writer, aristocrat and Prime Minister (1804–1881)"
Q82083,"John Keats","English romantic poet"
Q82248,"John Galsworthy","English novelist and playwright"
Q82278,"George Jellicoe, 2nd Earl Jellicoe","British army officer, politician and businessman (1918-2007)"
Q82409,"Samuel Taylor Coleridge","British poet, literary critic and philosopher"
Q82925,"Joseph Conrad","Polish-British writer"
Q82999,"Melanie Klein","British Austrian born psychoanalyst"
Q83235,"Horatio Nelson","British Royal Navy Admiral (1758–1805)"
Q83297,"John Strutt, 3rd Baron Rayleigh","English physicist (1842-1919)"
Q84034,"William Haldimand","British politician (1784-1862)"
Q84842,"George Weidenfeld, Baron Weidenfeld","British businessman and Baron (1919-2016)"
Q85180,"Joseph Edgar Boehm","British sculptor (1834-1890)"
Q85695,"Alfred Francis Pribram","Austro-British historian"
Q86279,"Robert Kronfeld","Austrian gliding champion"
Q87132,"Gisbert Kapp","British engineer"
Q87529,"Ernest Cassel","British businessman (1852-1921)"
Q887808,"Bob Benson","English footballer (1883-1916)"
Q887900,"John Heneage Jesse","British historian"
Q887947,"Bob Godfrey","British animator (1921–2013)"
Q887951,"Bob Glendenning","English footballer and manager (1888-1940)"
Q888205,"Bob Ramsey","British footballer (1864-1945)"
Q888254,"Bob Simmons","British stunt man"
Q888340,"Robert Wyman","ice hockey player"
